"","id","player_fifa_api_id","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes","EMC$class"
"9597",20453,193226,210146,64,75,"right","medium","low",49,67,63,59,60,55,45,46,55,63,68,71,66,63,60,67,60,62,58,63,52,18,61,60,68,22,18,18,8,9,5,13,6,4
"9598",20454,193226,210146,60,75,"right","medium","low",49,64,57,52,61,59,45,46,52,53,68,71,66,63,48,57,53,62,38,59,32,18,51,50,58,22,18,18,8,9,5,13,6,4
"9599",14157,172665,22139,66,70,"right","high","low",54,69,68,60,57,63,48,42,58,65,68,69,66,69,67,66,67,64,69,53,50,60,64,61,60,32,30,41,7,23,58,23,23,2
"9600",14158,172665,22139,65,70,"right","high","low",54,69,68,56,57,57,48,42,52,64,68,69,66,69,67,66,67,64,69,53,42,60,64,61,60,32,30,41,7,23,52,23,23,2
"9601",11817,163491,41404,74,76,"left","high","low",76,62,48,81,74,74,78,74,77,79,68,70,69,74,61,81,66,75,69,78,64,55,72,76,67,55,65,62,5,11,15,6,8,4
"9602",11818,163491,41404,74,76,"left","high","low",76,62,48,81,74,74,78,74,77,79,68,69,69,74,61,81,66,75,69,78,64,55,72,76,67,55,65,62,5,11,15,6,8,4
"9603",14400,51887,37466,74,74,"right","high","low",68,76,76,73,72,74,69,77,65,75,68,69,77,72,60,73,83,68,64,70,52,31,76,74,74,41,25,38,9,14,15,12,5,4
"9604",1250,112392,25571,73,73,"right","high","low",64,67,61,76,67,72,68,71,68,80,68,64,57,72,74,81,62,34,92,74,71,55,69,80,77,44,63,58,8,16,12,11,12,4
"9605",1251,112392,25571,73,73,"right","high","low",64,67,61,76,67,72,68,71,68,80,68,64,57,72,74,81,62,34,92,74,71,55,69,80,77,44,63,58,8,16,12,11,12,4
"9606",1252,112392,25571,73,73,"right","high","low",64,67,61,76,67,72,68,71,68,80,68,64,57,72,74,81,62,55,92,74,71,55,69,80,77,44,63,58,8,16,12,11,12,4
"9607",17229,192587,168727,64,74,"right","high","low",62,62,58,71,48,66,59,58,66,71,68,72,59,57,61,62,45,67,66,61,65,58,68,69,56,59,61,56,6,14,10,12,11,4
"9608",14252,223268,177683,66,67,"right","high","low",62,68,60,66,64,66,61,63,64,65,68,68,66,63,74,67,60,74,63,64,58,55,66,66,58,53,59,50,6,5,9,12,6,4
"9609",14253,223268,177683,66,69,"right","high","low",62,68,60,66,64,66,61,63,64,65,68,68,66,63,74,67,60,74,63,64,58,55,66,66,58,53,59,50,6,5,9,12,6,4
"9610",14254,223268,177683,66,70,"right","high","low",62,68,60,66,64,66,61,63,64,65,68,68,66,63,74,67,60,74,63,64,58,55,66,66,58,53,59,50,6,5,9,12,6,4
"9611",14255,223268,177683,65,69,"right","high","low",62,64,60,66,64,66,61,63,64,65,68,68,66,63,74,67,60,74,63,54,58,55,66,66,58,53,59,50,6,5,9,12,6,4
"9612",14256,223268,177683,64,68,"right","high","low",61,65,58,64,64,66,61,63,63,64,68,68,66,62,74,65,63,74,63,54,58,55,66,65,58,51,58,49,6,5,9,12,6,4
"9613",14257,223268,177683,64,68,"right","high","low",61,65,55,64,64,66,61,62,63,64,68,68,66,62,74,63,63,73,63,54,58,55,66,65,58,51,58,49,6,5,9,12,6,4
"9614",17228,192587,168727,63,67,"right","high","low",61,61,57,70,47,65,58,57,65,70,68,70,59,56,61,61,45,67,66,61,64,57,67,68,55,58,60,55,5,13,9,11,10,4
"9615",12436,42521,42873,76,76,"left","high","low",78,70,54,77,68,73,86,83,76,76,68,69,67,81,65,82,54,64,70,82,59,43,78,76,83,25,33,26,5,6,8,10,6,4
"9616",12437,42521,42873,76,76,"left","high","low",78,70,54,77,68,73,86,83,76,76,68,69,67,77,65,82,54,64,70,82,59,43,78,76,83,25,33,26,5,6,8,10,6,4
"9617",12438,42521,42873,75,75,"left","high","low",75,70,54,77,68,72,86,84,76,76,68,69,67,76,65,82,54,64,70,82,59,43,76,76,83,25,33,26,5,6,8,10,6,4
"9618",12439,42521,42873,76,76,"left","high","low",75,70,54,78,68,74,86,84,76,76,68,69,67,77,65,82,54,64,70,82,59,43,77,79,83,25,33,26,5,6,8,10,6,4
"9619",12440,42521,42873,76,76,"left","high","low",75,70,54,78,68,74,86,83,76,76,68,69,67,77,65,82,54,64,70,82,59,43,77,79,84,25,33,26,5,6,8,10,6,4
"9620",12441,42521,42873,76,76,"left","high","low",75,70,54,78,68,74,84,83,76,76,68,69,67,77,65,82,54,64,70,82,59,43,77,79,86,25,33,26,5,6,8,10,6,4
"9621",14156,172665,22139,66,70,"right","high","low",54,69,68,60,57,63,48,42,58,65,68,69,66,69,67,66,67,64,69,53,50,40,69,61,58,32,30,41,8,6,8,10,7,4
"9622",19481,148478,34266,64,64,"right","high","low",39,64,73,56,61,51,51,57,50,60,68,72,58,59,59,62,59,58,78,58,61,30,68,53,64,28,38,42,12,15,7,6,13,4
"9623",3635,177529,41399,58,68,"right","medium","high",38,41,36,71,53,72,42,32,68,59,68,77,70,62,80,54,76,36,73,31,74,76,45,68,29,58,73,72,9,20,68,20,20,2
"9624",4981,110341,37451,79,83,"right","medium","high",53,58,73,71,27,29,30,46,67,66,68,74,57,78,73,52,75,80,81,47,78,70,71,68,65,83,84,82,9,21,67,21,21,2
